ReNamn;Företag;Gruppnamn;RE;StartHour;EndHour;StartMonth;EndMonth;Hur de tar ut abonnerad effekt/höglast;Källa;Kommentar
REL00018;AB Borlänge Energi Elnät;;REL00018;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Om utnyttjad aktiv effekt överskrider den avtalade abonnerade effekten debiteras dubbeleffektavgift för överutaget. Vi antar att kunden aldrig överskrider sin abonnerade effekt utan väljer exakt rätt abonnerad effekt (årets högsta effekttopp). Inga höglasttider eller höglastavgifter.;https://www.borlange-energi.se/foretag-och-brf/elnat/elnatspriser-och-avtalsvillkor;
REL00149;AB PiteEnergi;;REL00149;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Om utnyttjad aktiv effekt överskrider den avtalade abonnerade effekten debiteras dubbeleffektavgift för överutaget. Vi antar att kunden aldrig överskrider sin abonnerade effekt utan väljer exakt rätt abonnerad effekt (årets högsta effekttopp). Inga höglasttider eller höglastavgifter.;https://www.piteenergi.se/elnat/elnatsavgifter-2026/;
REL00091;Affärsverken Elnät i Karlskrona AB;;REL00091;-;-;-;-;Abonnerad effekt beräknas som den timme under månaden som man använt flest kilowattimmar (högsta entimmeseffekten). Inga höglastperioder.;https://www.affarsverken.se/elnat/elnatspriser/foretag-och-flerbostadshus-effektabonnemang/;
REL00001;Ale El ek. för.;;REL00001;6;22;11;3;Tar bara ut effektavgifter under höglastmånader. Har också kostnad för reaktiv effekt, men det struntar vi i.;https://aleel.se/avgifter/;
REL03070;Ale El Elnät AB;;REL03070;6;22;11;3;Tar bara ut effektavgifter under höglastmånader. Har också kostnad för reaktiv effekt, men det struntar vi i.;https://aleel.se/avgifter/;
REL00002;Alingsås Energi AB;;REL00002;7;19;11;3;Bara effekttariffer under fördfinierade höglastperioden;https://www.alingsasenergi.se/effektavgifter/;
REL00002;Alingsås Energi AB;;REL00002;7;19;11;3;Bara effekttariffer under fördfinierade höglastperioden;https://www.alingsasenergi.se/effektavgifter/;
REL03049;Alingsås Energi Elnät AB;;REL03049;7;19;11;3;Bara effekttariffer under fördfinierade höglastperioden;https://www.alingsasenergi.se/effektavgifter/;
REL00003;Almnäs Bruk AB;;REL00003;-;-;-;-;De verkar ej ha några effekttariffer alls.;https://www.almnas.com/wp-content/uploads/2023/05/TARIFF-2023-Mvs.pdf;
REL03059;Almnäs Elnät AB;;REL03059;-;-;-;-;De verkar ej ha några effekttariffer alls.;https://www.almnas.com/wp-content/uploads/2023/05/TARIFF-2023-Mvs.pdf;
REL00004;Alvesta Elnät AB;;REL00004;-;-;-;-;effektavgift som baseras på hur många kWh du konsumerat under timmen med högst effektuttag under månaden. Reaktiv effekt (som vi struntar i);https://alvestaenergi.se/alvesta-elnat/priser/;
REL00005;Arvika Elnät AB;;REL00005;6;22;11;3;Högbelastningsavgift debiteras månadsvis för den under månaden uttagna effekten. Den under året utnyttjade effekten anses vara medelvärdet av de två högsta debiteringsgrundande månadseffekterna.;https://www.teknikivast.se/sidor/elnat/ditt-elnatsabonnemang/din-natavgift/natavgift-effektkund.html;
REL00007;Bengtsfors Energi Nät AB;;REL00007;6;22;11;3;Kunden tecknar ett årsabonnemang för sitt effektuttag. Vi antar att kunden aldrig överskrider sin abonnerade effekt, utan väljer exakt rätt abonnerad effekt.;https://www.bengtsforsenergi.se/startsida-nat/sidor/elnatsavgift.html;
REL00008;Bergs Tingslags Elektriska AB;;REL00008;6;21;12;2;Effektavgift, aktiv effekt, debiteras månadsvis i efterskott. Underlaget utgörs normalt av föregående månads högsta timförbrukning (medeleffekt under 60 minuter) under månadens höglast- respektive låglasttimmar. Detta innebär att effektkostnaden varierar över året beroende på effektuttag, om effektuttaget äger rum under hög- eller låglastperiod och på gällande effektpriser vid varje faktureringstillfälle.;https://cms.btea.se/uploads/2025/08/2025-10-01-Elnatstariffer-400V-over-125A.pdf;
REL00010;Bjäre Kraft ek. för.;;REL00010;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Om utnyttjad aktiv effekt överskrider den avtalade abonnerade effekten debiteras dubbeleffektavgift för överutaget. Vi antar att kunden aldrig överskrider sin abonnerade effekt utan väljer exakt rätt abonnerad effekt (årets högsta effekttopp). Inga höglasttider eller höglastavgifter.;https://www.bjarekraft.se/foretag/elnat/elnatspriser/effektpriser;
REL03048;Bjäre Kraft Elnät AB;;REL03048;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Om utnyttjad aktiv effekt överskrider den avtalade abonnerade effekten debiteras dubbeleffektavgift för överutaget. Vi antar att kunden aldrig överskrider sin abonnerade effekt utan väljer exakt rätt abonnerad effekt (årets högsta effekttopp). Inga höglasttider eller höglastavgifter.;https://www.bjarekraft.se/foretag/elnat/elnatspriser/effektpriser;
REL00011;Bjärke Energi ek. för.;;REL00011;6;22;11;3;"Effektavgiften baseras på snittet av dina tre högst uppmätta timvärden från olika dygn per månad d.v.s. de timmar per månad då du använde mest el sammantaget. Effektavgiften är uppdelad på 3 perioder; natt kl. 22-06 alla dagar hela året är det ingen effektavgift, dag kl. 06-22 april-okt är det normal abonnerad effekt, dag kl. 06-22 nov-mars är det höglasteffekt.";https://www.bjerke-energi.se/elnat/tariffer/normaltariff-2026/;
REL00014;Blåsjön Nät AB;;REL00014;-;-;-;-;Har ej infört effekttariffer;https://blasjonnat.se/elnat/42922.avgifter_och_tariffer.html;
REL00264;Blåsjön Nät AB;;REL00264;-;-;-;-;Har ej infört effekttariffer;https://blasjonnat.se/elnat/42922.avgifter_och_tariffer.html;
REL00015;Bodens Energi Nät AB;;REL00015;6;22;11;3;En del av kostnaden kommer bestå av en effektavgift som påverkas av din elanvändning under höglasttid dvs. från 1 november till 31 mars, vardagar mellan kl. 06.00 – 22.00. Där kommer snittet av de tre högsta effekttopparna per månad att räknas och avgör effektavgiften för den månaden. ;https://bodensenergi.se/elnat/elnat-effekttariff/;
REL00016;Boo Energi ek. för.;;REL00016;6;20;11;3;Effektavgiften baseras på snittet av dina tre högsta effekttoppar under månaden - alltså de timmar då du använder som mest el samtidigt.;https://www.booenergi.se/app/uploads/2025/02/Elnatsavgifter_2025-_over_200A.pdf;
REL00017;Borgholm Energi Elnät AB;;REL00017;-;-;-;-;Effektavgift erläggs varje månad för det högsta under månaden förekommande värdet på uttagen timmedeleffekt.;https://borgholmenergi.se/foretag/elnat/priser-och-avtal-2/natpriser/;
REL00101;Brittedals Elnät AB;;REL00101;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Vi antar att kunden aldrig överskrider sin abonnerade effekt, utan väljer exakt rätt abonnerad effekt.;https://brittedal.se/elnatspriser;
REL00020;Brittedals Elnät ek. för.;;REL00020;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Vi antar att kunden aldrig överskrider sin abonnerade effekt, utan väljer exakt rätt abonnerad effekt.;https://brittedal.se/elnatspriser;
REL01012;Brittedals Elnät ek. för.;;REL01012;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Vi antar att kunden aldrig överskrider sin abonnerade effekt, utan väljer exakt rätt abonnerad effekt.;https://brittedal.se/elnatspriser;
REL00021;Bromölla Energi och Vatten AB;;REL00021;-;-;-;-;Kunden tecknar ett årsabonnemang för sitt effektuttag. Vi antar att kunden aldrig överskrider sin abonnerade effekt, utan väljer exakt rätt abonnerad effekt.;https://www.bromolla.se/bevab/om-elmarknaden-och-elnat/elpriser/;
REL00023;C4 Elnät AB;;REL00023;7;19;11;2;Effekttariffen gäller inte alltid — utan kommer endast vara igång under höglastperioder. Det vill säga när elnätet riskerar höga effekttoppar. Effekttariffen beräknas genom att räkna ut genomsnittet av de tre timmarna du har högst effektuttag. De tre topptimmarna hämtas från den definierade höglasttiden.;https://www.c4energi.se/privat/elnat/priser-villkor-avtal/elnatspriser-privat/startsida-effekttariffer/Effekttariff/;
REL00024;Carlfors Bruk E Björklund & Co KB;;REL00024;-;-;-;-;De verkar ha ett eget nät utan andra kunder;https://carlfors.com/media/1609/natutvecklingsplan-carlfors-bruk-e-bjorklund-co-kb.pdf;
REL00181;Dala Elnät AB;;REL00181;7;19;11;3;Abonnerad effekt: Medelvärde av de tre högsta topparna under låglast. Höglasteffekt: Medelvärde av de tre högsta topparna under höglast.;https://dalaenergi.se/el/avgift/;
REL00042;Dala Energi Elnät AB;;REL00042;7;19;11;3;Abonnerad effekt: Medelvärde av de tre högsta topparna under låglast. Höglasteffekt: Medelvärde av de tre högsta topparna under höglast.;https://dalaenergi.se/el/avgift/;
